Suburb,Address,Type,Price,Rooms,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude
Brunswick,30 Mountfield St,h,1073000,2,S,Jellis,28/08/2016,5.2,2,1,1,182,,,-37.7629,144.968
Brunswick,109 Stewart St,h,1080000,3,S,Nelson,28/08/2016,5.2,3,2,1,316,,,-37.7643,144.9713
Brunswick,411 Barkly St,h,945000,2,S,Jellis,30/07/2016,5.2,2,1,2,246,103,1910,-37.775,144.9536
Brunswick,4 Sheffield St,h,,4,S,Ray,30/07/2016,5.2,4,2,1,421,149,1930,-37.7604,144.9512
Brunswick,52 Talbot St,h,755000,2,S,Nelson,30/07/2016,5.2,2,1,1,159,157,1930,-37.7656,144.9562
Brunswick West,8/7 Passfield St,u,521500,2,S,Peter,3/09/2016,5.9,2,1,1,0,69,1960,-37.768,144.9408
Brunswick West,3/9 Cumming St,h,,3,PN,Nelson,3/12/2016,5.9,3,1,1,125,,,-37.7612,144.9432
Brunswick West,9/610 Moreland Rd,u,320000,2,PI,Nelson,3/12/2016,5.9,2,1,1,0,,1980,-37.7514,144.9288
Brunswick West,25 Wales St,h,1190000,3,S,Nelson,3/12/2016,5.9,3,1,1,0,119,1920,-37.7564,144.9422
Brunswick West,89 Pearson St,h,942000,3,S,McDonald,4/03/2017,5.9,3,1,0,358,,,-37.7642,144.9493
Brunswick West,2/13 Walker St,u,471000,2,S,Jellis,4/03/2017,5.9,2,1,1,564,60,1970,-37.7665,144.9425
Brunswick West,1 Wallace St,h,,4,S,Nelson,4/03/2017,5.9,4,2,2,0,,,-37.7637,144.9457
Brunswick West,4/1 Allard St,u,473000,2,S,Harrington,4/06/2016,5.9,2,1,2,568,,,-37.7682,144.9422
Brunswick West,5 Halpin St,h,1200000,3,S,Nelson,4/06/2016,5.9,3,1,1,600,,,-37.769,144.9478
Brunswick West,106 Hunter St,h,,3,S,Ray,4/06/2016,5.9,3,2,1,350,174,1925,-37.7651,144.9404
Brunswick West,3/91 Melville Rd,u,,2,S,Brad,4/06/2016,5.9,2,1,1,0,,1970,-37.7616,144.9441
Brunswick West,6 Shamrock St,h,,3,S,Nelson,4/06/2016,5.9,3,1,1,323,,,-37.7586,144.9504
Brunswick West,42 Whitby St,h,930000,4,S,Nelson,4/06/2016,5.9,4,2,2,299,,,-37.764,144.9454
Brunswick West,2/39 Murray St,u,300000,1,VB,Jellis,6/08/2016,5.9,,,,,,,,
Brunswick West,1/455 Albion St,u,265000,1,PI,Walshe,7/05/2016,5.9,1,1,1,0,42,2000,-37.7586,144.9452
Brunswick West,64 Pearson St,h,955000,3,S,hockingstuart,7/05/2016,5.9,3,1,0,220,93,1930,-37.7659,144.9494
Brunswick West,497 Albion St,h,1350000,5,SP,Woodards,7/11/2016,5.9,5,2,2,510,321,1997,-37.7581,144.9414
Brunswick West,2/458 Brunswick Rd,t,,2,S,Nelson,7/11/2016,5.9,,,,,,,,
Brunswick West,11/7 Egginton St,t,380000,2,VB,Nelson,7/11/2016,5.9,2,1,1,0,85,1970,-37.7607,144.9393
Brunswick West,20 Fitzgibbon Av,h,1400000,3,PI,Jellis,7/11/2016,5.9,,,,,,,,
Brunswick West,12/881 Park St,u,300000,1,SP,Grantham,7/11/2016,5.9,1,1,0,0,37,1960,-37.7763,144.947
Brunswick West,10 Yarrabin St,h,810000,3,S,Brad,7/11/2016,5.9,3,1,2,349,95,1950,-37.7589,144.9368
Brunswick West,48 Hunter St,h,,4,SN,Ray,8/10/2016,5.9,3,1,1,459,122,1950,-37.7658,144.9457
Brunswick West,36c Newman St,t,530000,2,VB,Nelson,8/10/2016,5.9,,,,,,,,
Brunswick West,4/22 Murray St,u,380000,2,PI,Brad,10/09/2016,5.9,2,1,1,0,,1970,-37.7594,144.9427
Brunswick West,11b Henderson St,t,1195000,3,S,Jellis,10/12/2016,5.9,,,,,,,,
Brunswick West,81 Melville Rd,h,793000,3,S,Ray,10/12/2016,5.9,3,1,0,275,119,1935,-37.763,144.9439
Brunswick West,6/524 Moreland Rd,u,400000,2,SP,Nelson,10/12/2016,5.9,2,1,1,73,64,1960,-37.7528,144.9368
Brunswick West,107/480 Albion St,u,400500,2,SP,Nelson,11/02/2017,5.9,2,1,1,0,70,2013,-37.7582,144.94
Brunswick West,1/572 Moreland Rd,t,797500,3,S,Nelson,11/02/2017,5.9,3,2,2,262,155,2010,-37.7519,144.9324
Brunswick West,18/180 Union St,u,435000,2,S,Nelson,12/06/2016,5.9,2,1,1,0,,2002,-37.7727,144.9497
Brunswick West,1 Marion Av,h,989000,2,S,Ray,12/11/2016,5.9,,,,,,,,
Brunswick West,468 Moreland Rd,h,920000,3,S,Jellis,12/11/2016,5.9,3,1,2,501,,,-37.753,144.9421
Brunswick West,106/2 Murray St,u,450000,2,S,Ray,12/11/2016,5.9,,,,,,,,
Brunswick West,915 Park St,h,1172000,3,S,Stockdale,12/11/2016,5.9,3,1,2,512,,,-37.7758,144.9435
Brunswick West,121 Pearson St,h,1300000,3,PI,Jellis,12/11/2016,5.9,3,1,2,364,135,1900,-37.7618,144.9497
Brunswick West,81 Whitby St,h,1330000,3,S,Nelson,12/11/2016,5.9,3,1,2,353,101,1930,-37.764,144.9428
Brunswick West,24 Burnell St,h,1245000,3,S,Barry,14/05/2016,5.9,3,1,1,412,,1934,-37.7618,144.9455
Brunswick West,7/22 Irvine Cr,t,,2,PI,Barry,14/05/2016,5.9,,,,,,,,
Brunswick West,1/6 Irvine Cr,u,515000,2,S,Moonee,14/05/2016,5.9,,,,,,,,
Brunswick West,102 Melville Rd,h,900000,2,SP,hockingstuart,14/05/2016,5.9,2,1,1,410,,,-37.7613,144.9446
Brunswick West,28 Yarrabin St,t,650000,3,PI,RW,14/05/2016,5.9,,,,,,,,
Brunswick West,474a Brunswick Rd,h,,2,S,Jellis,15/10/2016,5.9,2,1,2,253,144,2000,-37.7747,144.9393
Brunswick West,7/11 Egginton St,u,,2,PI,Nelson,15/10/2016,5.9,2,1,1,0,62,1980,-37.7604,144.9393
Brunswick West,2 Henderson St,h,1205000,7,S,Raine,15/10/2016,5.9,7,3,1,447,287,1982,-37.7634,144.9403
Brunswick West,1/19 Hopetoun Av,t,775000,3,S,Walshe,15/10/2016,5.9,,,,,,,,
Brunswick West,4/42 Passfield St,u,380000,2,PI,Jellis,15/10/2016,5.9,2,1,1,0,62,1970,-37.7676,144.9394
Brunswick West,171 Union St,h,1095000,3,S,Nelson,15/10/2016,5.9,3,1,1,411,168,1935,-37.7728,144.9478
Brunswick West,2/243 Union St,t,680000,2,VB,Nelson,15/10/2016,5.9,2,1,1,0,82,1970,-37.772,144.9406
Brunswick West,201 Hope St,h,711000,2,S,Nelson,16/04/2016,5.9,2,1,1,177,87,1910,-37.7619,144.9412
Brunswick West,7 Zeal St,h,910000,2,S,Raine,16/04/2016,5.9,2,1,4,576,,,-37.7578,144.9439
Brunswick West,194 Dawson St,h,1186000,3,S,Nelson,16/07/2016,5.9,3,1,3,608,,,-37.7694,144.9448
Brunswick West,5/8 Murray St,u,500000,2,S,Brad,16/07/2016,5.9,2,1,1,0,75,1970,-37.7595,144.9436
Brunswick West,4/268 Hope St,t,,3,SN,Barry,17/09/2016,5.9,3,2,1,0,108,1990,-37.7618,144.9429
Brunswick West,33 Whitby St,h,1005000,2,S,Nelson,17/09/2016,5.9,2,1,1,284,,1926,-37.7646,144.9476
Brunswick West,7/7 Allard St,u,385000,2,SP,Jellis,18/03/2017,5.9,2,1,1,0,62,1970,-37.7688,144.9421
Brunswick West,5/21 Cumming St,u,656000,2,S,Collins,18/03/2017,5.9,2,1,1,0,,,-37.7609,144.9425
Brunswick West,3/546 Moreland Rd,u,370000,2,S,Ray,18/03/2017,5.9,2,1,1,2120,59,1960,-37.7524,144.9347
Brunswick West,2/8 Walker St,u,320000,1,S,Jellis,18/06/2016,5.9,1,1,1,0,43,1970,-37.7661,144.9422
Brunswick West,29 Grantham St,h,988000,4,S,Nelson,19/11/2016,5.9,4,1,1,384,,,-37.7733,144.9491
Brunswick West,42 Hopetoun Av,h,910000,4,PI,Nelson,19/11/2016,5.9,,,,,,,,
Brunswick West,3/447 Brunswick Rd,u,400000,2,S,Nelson,22/05/2016,5.9,2,1,1,0,,,-37.7752,144.9463
Brunswick West,16 Foden St,h,,3,S,Nelson,22/05/2016,5.9,3,1,2,378,126,1925,-37.7713,144.9473
Brunswick West,9/39 Heller St,u,330000,1,S,hockingstuart/Advantage,22/05/2016,5.9,1,1,1,0,42,1970,-37.7748,144.9483
Brunswick West,10/13 Hopetoun Av,u,315000,2,PI,Jellis,22/05/2016,5.9,,,,,,,,
Brunswick West,8/82 Hopetoun Av,u,380000,2,S,Nelson,22/05/2016,5.9,,,,,,,,
Brunswick West,542 Albion St,h,1200000,5,PI,Jellis,22/08/2016,5.9,5,2,3,553,193,1920,-37.7576,144.9348
Brunswick West,6/86 Heller St,u,537000,2,SP,Jellis,22/08/2016,5.9,2,1,1,501,66,1960,-37.7741,144.9449
Brunswick West,7 Morrow St,h,910000,3,S,Brad,22/08/2016,5.9,3,1,2,717,141,1950,-37.7525,144.9321
Brunswick West,8/48 Passfield St,u,285000,1,PI,Walshe,22/08/2016,5.9,1,1,1,0,45,1970,-37.7675,144.939
Brunswick West,9 Peacock St,h,921500,4,S,Ray,22/08/2016,5.9,3,1,1,575,165,1930,-37.7575,144.9402
Brunswick West,1 Culloden St,h,995000,3,S,Brad,23/04/2016,5.9,3,1,2,505,,,-37.757,144.9446
Brunswick West,117 Pearson St,h,901000,3,S,Rendina,23/04/2016,5.9,3,1,4,357,,,-37.762,144.9497
Brunswick West,1 Jordan St,h,1315000,2,S,Nelson,24/09/2016,5.9,2,1,2,554,116,1930,-37.7715,144.9426
Brunswick West,8/109 Melville Rd,u,370000,2,VB,Nelson,24/09/2016,5.9,2,1,1,0,65,1970,-37.7606,144.9443
Brunswick West,1/464 Victoria St,t,735000,2,S,Jellis,24/09/2016,5.9,2,1,2,120,109,2004,-37.7659,144.9487
Brunswick West,15 Wallace St,h,1000000,4,S,Nelson,24/09/2016,5.9,3,1,1,589,148,1935,-37.7628,144.9459
Brunswick West,10/446 Albion St,u,252000,1,PI,McDonald,25/02/2017,5.9,1,1,1,0,45,1970,-37.7586,144.9433
Brunswick West,77 Collier Cr,h,1180000,3,S,Nelson,25/02/2017,5.9,,,,,,,,
Brunswick West,23/80 Hopetoun Av,u,737000,3,S,Nelson,25/02/2017,5.9,,,,,,,,
Brunswick West,871 Park St,h,1700000,4,PI,Jellis,25/02/2017,5.9,4,2,2,621,184,1920,-37.7764,144.9479
Brunswick West,12 Hamilton St,h,820000,2,S,Jellis,26/07/2016,5.9,3,1,1,206,98,1900,-37.7604,144.9488
Brunswick West,7/5 Allard St,u,370000,2,VB,Jellis,27/06/2016,5.9,2,1,1,0,65,1970,-37.7686,144.9421
Brunswick West,3 Appleby Cr,h,1100000,3,VB,Brad,27/06/2016,5.9,,,,,,,,
Brunswick West,12/82 Hopetoun Av,u,400000,2,VB,Nelson,27/06/2016,5.9,,,,,,,,
Brunswick West,1/30 McLean St,u,484000,2,S,Jellis,27/06/2016,5.9,2,1,1,0,65,1950,-37.7543,144.9385
Brunswick West,2/494 Victoria St,t,815000,3,S,Ray,27/06/2016,5.9,3,1,2,157,123,1999,-37.7652,144.9454
Brunswick West,487 Brunswick Rd,h,1150000,3,VB,Jellis,27/11/2016,5.9,3,1,2,726,,1950,-37.7747,144.9421
Brunswick West,1/312 Hope St,u,351000,1,PI,Nelson,27/11/2016,5.9,1,1,1,0,,,-37.7614,144.9393
Brunswick West,111/2 Olive York Wy,u,395000,2,SP,Village,27/11/2016,5.9,,,,,,,,
Brunswick West,53 Heller St,h,1150000,4,VB,Nelson,28/05/2016,5.9,4,1,2,519,169,1910,-37.7747,144.9474
Brunswick West,214 Hope St,h,,4,S,Jellis,28/05/2016,5.9,4,1,2,474,156,1900,-37.7623,144.9472
Brunswick West,19a Manica St,h,1600000,4,VB,Nelson,28/05/2016,5.9,,,,,,,,
Brunswick West,4/38 Melville Rd,t,598000,2,S,Nelson,28/05/2016,5.9,2,1,1,69,,2009,-37.766,144.9439
Brunswick West,2/530 Victoria St,u,497000,2,S,Hodges,28/05/2016,5.9,2,1,1,0,84,1977,-37.7647,144.9412
Brunswick West,5/22 Whitby St,u,403000,2,S,hockingstuart,28/05/2016,5.9,2,1,2,0,,,-37.7643,144.9477
Brunswick West,1/536 Albion St,h,440000,2,PI,Jellis,28/08/2016,5.9,2,1,1,0,62,1960,-37.7577,144.9354
Brunswick West,196 Melville Rd,h,816000,2,S,Nelson,28/08/2016,5.9,3,2,1,343,115,1930,-37.7552,144.9458
Brunswick West,481 Albion St,h,1585000,4,SP,Gunn&Co,30/07/2016,5.9,4,1,2,562,,1920,-37.7583,144.9428
Brunswick West,16 Bakers Pde,h,970000,4,PI,Nelson,30/07/2016,5.9,4,3,2,499,150,1925,-37.7538,144.944
Brunswick West,5/82 Hopetoun Av,u,490000,3,VB,Nelson,30/07/2016,5.9,,,,,,,,
Bulleen,19a Elizabeth St,u,851000,3,S,Jellis,3/09/2016,11.8,3,1,2,385,140,2000,-37.7599,145.0849
Bulleen,42 Robert St,h,1300000,4,S,Jellis,3/09/2016,11.8,4,1,2,717,180,1960,-37.7608,145.0862
Bulleen,92 Swanston St,h,1110000,4,PI,Barry,3/09/2016,11.8,3,2,2,562,,,-37.7628,145.0994
Bulleen,25 William St,h,1235000,4,S,Jellis,3/09/2016,11.8,4,2,2,556,214,1957,-37.7657,145.0957
Bulleen,1/16 Carrathool St,t,930000,4,PI,Jellis,3/12/2016,11.8,,,,,,,,
Bulleen,28 Rocklea Rd,h,1505000,4,S,Jellis,3/12/2016,11.8,4,3,2,410,,2012,-37.7695,145.082
Bulleen,1/119 Willow Bnd,t,790000,3,S,Philip,3/12/2016,11.8,,,,,,,,
Bulleen,4 Albany Pl,h,1303000,4,SP,Barry,4/03/2017,11.8,4,2,2,670,197,1980,-37.7695,145.0869
Bulleen,4 Greenhill Ct,h,1336000,5,S,Barry,4/03/2017,11.8,5,3,3,736,,,-37.7683,145.0881
Bulleen,130 Manningham Rd,h,880000,3,PI,Barry,4/06/2016,11.8,3,2,2,514,190,1960,-37.7683,145.0959
Bulleen,40 Riverview Tce,h,980000,3,S,Barry,4/06/2016,11.8,3,1,1,701,,,-37.7729,145.098
Bulleen,6a Tobruk St,t,975000,3,PI,Fletchers,4/06/2016,11.8,3,2,2,632,226,2013,-37.7813,145.102
Bulleen,5 Fuller St,h,1127000,3,S,Jellis,6/08/2016,11.8,3,1,2,631,,,-37.7778,145.0901
Bulleen,13 Montgomery Pl,h,990000,3,PI,Barry,6/08/2016,11.8,3,2,1,585,180,1950,-37.7689,145.099
Bulleen,10 Tanami Ct,h,1401000,4,S,Ray,6/08/2016,11.8,5,2,2,617,,,-37.7582,145.0889
Bulleen,61 Barak St,h,,4,SP,Philip,7/05/2016,11.8,4,2,2,752,,,-37.771,145.0869
Bulleen,28 Dale St,h,1340000,3,S,Barry,7/05/2016,11.8,2,1,2,775,,1965,-37.779,145.101
Bulleen,57a Estelle St,h,,5,SN,Assisi,7/05/2016,11.8,4,2,2,388,235,2014,-37.7791,145.0961
Bulleen,206 Manningham Rd,h,1225000,4,S,Ray,7/05/2016,11.8,4,2,2,723,159,1970,-37.7724,145.1033
Bulleen,9 Albany Pl,h,1490000,5,S,Fletchers,7/11/2016,11.8,5,3,2,796,304,1975,-37.7697,145.0871
Bulleen,24 Kimberley Wy,h,1380000,4,S,Barry,7/11/2016,11.8,,,,,,,,
Bulleen,3 Maringa St,h,,4,SP,Ray,7/11/2016,11.8,4,2,2,729,255,2106,-37.7637,145.0881
Bulleen,10a Elizabeth St,t,1250000,3,SP,Jellis,8/10/2016,11.8,3,2,2,315,,1960,-37.7607,145.0853
Bulleen,49 Furneaux Gr,h,1002000,4,S,Jellis,8/10/2016,11.8,4,1,2,650,323,,-37.778,145.0913
Bulleen,15 Millicent Av,h,950000,5,PI,McGrath,8/10/2016,11.8,,,,,,,,
Bulleen,2/10 Ronald Av,t,836000,2,S,Barry,8/10/2016,11.8,,,,,,,,
Bulleen,47 Sheahans Rd,h,1260000,4,S,Barry,10/09/2016,11.8,4,2,2,730,,1971,-37.7606,145.0932
Bulleen,38 Balwyn Rd,h,905000,3,S,Barry,10/12/2016,11.8,3,3,2,401,165,1965,-37.7733,145.0901
Bulleen,11 Carrathool St,h,1400000,3,S,Barry,10/12/2016,11.8,3,1,3,770,,,-37.7644,145.0886
Bulleen,16 Chateau Ri,h,1550000,4,PI,Jellis,10/12/2016,11.8,,,,,,,,
Bulleen,135 Manningham Rd,h,1085000,4,PI,Barry,10/12/2016,11.8,4,2,1,1124,225,1960,-37.7679,145.0958
Bulleen,24 Robert St,h,1300000,4,SP,Jellis,10/12/2016,11.8,4,3,1,604,,,-37.7621,145.086
Bulleen,30a Warringal St,h,1240000,3,S,Barry,10/12/2016,11.8,,,,,,,,
Bulleen,1/15 Estelle St,u,787000,3,S,Barry,11/02/2017,11.8,3,1,2,306,100,1985,-37.7792,145.0903
Bulleen,19 Warringal St,h,1280000,4,S,Barry,11/03/2017,11.8,4,1,2,732,6791,,-37.7615,145.0897
Bulleen,13 Marjorie Cl,h,,5,SP,Fletchers,12/06/2016,11.8,5,2,2,677,372,2004,-37.7789,145.0977
Bulleen,4 Chateau Ri,h,1900000,5,PI,Barry,12/11/2016,11.8,,,,,,,,
Bulleen,14 Kandanga Gr,h,1075000,3,S,Jellis,12/11/2016,11.8,3,1,1,604,96,1960,-37.7711,145.0928
Bulleen,8a Ronald Av,h,1100000,3,PI,Fletchers,12/11/2016,11.8,,,,,,,,
Bulleen,153 Thompsons Rd,h,890000,2,S,Fletchers,12/11/2016,11.8,2,1,2,559,,,-37.7739,145.094
Bulleen,31 Nirvana Cr,h,975000,3,PI,Barry,14/05/2016,11.8,,,,,,,,
Bulleen,38 Rocklea Rd,h,1320000,4,PI,Jellis,14/05/2016,11.8,4,3,2,411,,1970,-37.7698,145.083
Bulleen,23 Bourke St,h,1302000,4,SP,Barry,15/10/2016,11.8,4,2,2,475,245,1996,-37.765,145.0933
Bulleen,8 Vera St,h,1050000,3,PI,Fletchers,15/10/2016,11.8,3,2,1,728,719,1965,-37.7765,145.1031
Bulleen,7 Yarraleen Pl,h,,4,SP,Jellis,15/10/2016,11.8,4,3,4,1221,,,-37.7682,145.0824
Bulleen,7 Ronald Av,h,1298000,4,S,Barry,16/04/2016,11.8,,,,,,,,
Bulleen,71 Summit Dr,h,1000000,4,VB,hockingstuart,16/04/2016,11.8,4,2,3,672,212,1970,-37.7689,145.0895
Bulleen,10 Helene St,h,,5,SN,Philip,18/03/2017,11.8,5,3,2,668,,,-37.7639,145.0867
Bulleen,7 Kampman St,h,1300000,4,S,McGrath,18/03/2017,11.8,4,2,2,744,300,1985,-37.7791,145.086
Bulleen,63 Thompsons Rd,h,1250000,4,S,Barry,18/03/2017,11.8,4,2,2,732,,,-37.7771,145.0855
Bulleen,28 Kenneth St,h,976000,4,S,Barry,18/06/2016,11.8,4,1,1,701,,,-37.7786,145.0945
Bulleen,15 Riverview Tce,h,980000,2,S,Fletchers,18/06/2016,11.8,3,1,1,551,,,-37.7739,145.0962
Bulleen,37 Apex Cr,h,1120000,4,S,Barry,19/11/2016,11.8,,,,,,,,
Bulleen,1/7 Westwood Dr,u,812500,3,S,Barry,19/11/2016,11.8,3,1,1,421,,,-37.7798,145.1023
Bulleen,22 Nirvana Cr,h,1280000,4,S,Jellis,22/05/2016,11.8,,,,,,,,
Bulleen,14 Collins St,h,990000,3,PI,Barry,22/08/2016,11.8,3,1,2,602,175,1975,-37.7674,145.0988
Bulleen,38 Latrobe St,h,1150000,3,S,Barry,22/08/2016,11.8,,,,,,,,
Bulleen,18 Vista St,h,,3,S,Fletchers,22/08/2016,11.8,4,2,2,296,195,2011,-37.7779,145.1007
Bulleen,24 Alison Av,h,1060000,3,S,Ray,23/04/2016,11.8,,,,,,,,
Bulleen,4 Graeme Ct,h,1244000,4,PI,Fletchers,23/04/2016,11.8,4,2,2,530,,,-37.7735,145.088
Bulleen,19 Barak St,h,1100000,4,PI,Barry,24/09/2016,11.8,4,2,2,693,212,1975,-37.7743,145.0863
Bulleen,13 Birrarrung Ct,h,1475000,4,VB,Barry,24/09/2016,11.8,4,2,2,617,,1998,-37.7569,145.0913
Bulleen,42 Gisborne St,h,1140000,4,S,hockingstuart,24/09/2016,11.8,4,2,3,554,,,-37.7624,145.0961
Bulleen,43 Helene St,h,833000,2,S,Philip,25/02/2017,11.8,2,1,0,359,,,-37.7609,145.0869
Bulleen,10 Nevada Rt,h,1600000,4,S,Barry,25/02/2017,11.8,,,,,,,,
Bulleen,28 Flinders St,h,903000,2,S,Barry,26/07/2016,11.8,2,1,1,591,140,1965,-37.7679,145.0978
Bulleen,47 Alfreda Av,h,,4,S,Jellis,27/06/2016,11.8,,,,,,,,
Bulleen,2/6 England St,t,905000,3,PI,Fletchers,27/11/2016,11.8,,,,,,,,
Bulleen,8a Helene St,h,1125000,4,VB,Barry,27/11/2016,11.8,,,,,,,,
Bulleen,15 Moresby Av,h,1250000,3,SP,Jellis,27/11/2016,11.8,,,,,,,,
Bulleen,1 Fuller St,h,1351000,4,S,Jellis,28/05/2016,11.8,4,2,2,740,,,-37.7781,145.0901
Bulleen,13 Hillside Rd,h,1060000,2,S,Jellis,28/05/2016,11.8,2,1,2,609,,,-37.7762,145.0958
Bulleen,17 Kathleen Gr,h,1063000,3,S,Jellis,28/05/2016,11.8,3,1,2,602,,,-37.7712,145.097
Bulleen,26 Carrathool St,h,,5,PI,Parkes,30/07/2016,11.8,5,3,2,826,,,-37.7634,145.0892
Bulleen,3/10 Ronald Av,u,850000,3,PI,Barry,30/07/2016,11.8,,,,,,,,
Burwood,15 Loudon Rd,h,1590000,5,S,Jellis,3/09/2016,11.7,4,3,2,661,253,1940,-37.848,145.098
Burwood,4 Bennett St,h,1390000,3,S,Fletchers,3/12/2016,11.7,3,1,2,697,,,-37.851,145.1169
Burwood,6 Elgar Rd,h,,3,SP,Jellis,3/12/2016,11.7,3,1,2,668,,,-37.8486,145.1094
Burwood,2 Highbury Rd,h,,4,SP,Rounds,3/12/2016,11.7,4,2,4,602,,,-37.8536,145.0957
Burwood,7 Keogh St,h,1300000,3,SA,Stockdale,3/12/2016,11.7,3,1,2,773,,1960,-37.8562,145.1104
Burwood,35 McCubbin St,h,1890000,4,S,Ray,3/12/2016,11.7,4,2,2,1145,111,1960,-37.8538,145.127
Burwood,2/32 McIntyre St,u,1022500,3,S,Ray,3/12/2016,11.7,3,2,2,265,130,2000,-37.8516,145.1056
Burwood,1 Webb St,h,1250000,3,VB,Fletchers,3/12/2016,11.7,3,1,1,662,,,-37.8561,145.1054
Burwood,163 Highbury Rd,h,1151000,3,S,Buxton,4/02/2016,11.7,3,1,1,695,,,-37.8551,145.1121
Burwood,30 Station St,h,1755000,3,S,Buxton,4/02/2016,11.7,3,1,1,931,145,1970,-37.854,145.1195
Burwood,45 Barnes Av,h,1505000,5,S,Tim,4/03/2017,11.7,,,,,,,,
Burwood,34 Beddows St,h,,5,PI,Buxton,4/03/2017,11.7,5,3,2,513,185,1970,-37.8532,145.1156
Burwood,20 Gilmour St,h,,6,S,Buxton,4/03/2017,11.7,6,3,3,796,367,2014,-37.8529,145.0986
Burwood,49 Morton Rd,h,,3,SP,Marshall,4/03/2017,11.7,3,2,2,741,,,-37.8578,145.0993
Burwood,39 Sixth Av,h,935000,3,S,Purplebricks,4/03/2017,11.7,,,,,,,,
Burwood,1/109 Station St,u,686000,3,PI,Ray,4/03/2017,11.7,3,1,2,273,,1980,-37.8473,145.1203
Burwood,7 Waratah Av,h,1400000,3,S,Jellis,4/03/2017,11.7,,,,,,,,
Burwood,2/2 Aylwin Av,u,604000,2,S,Fletchers,4/06/2016,11.7,,,,,,,,
Burwood,2 Elgar Rd,h,1300000,3,S,Marshall,4/06/2016,11.7,3,1,1,667,136,1950,-37.8489,145.1093
Burwood,1 Leopold St,h,,3,SN,Woodards,4/06/2016,11.7,3,1,2,763,118,1950,-37.8589,145.0948
Burwood,48 Station St,h,1160000,3,S,Greg,4/06/2016,11.7,3,1,1,786,111,1950,-37.8525,145.1198
Burwood,2 Alder St,h,,4,PI,Philip,7/05/2016,11.7,4,2,1,811,,,-37.8489,145.0985
Burwood,5 Church St,h,,4,PI,Buxton,7/05/2016,11.7,4,2,2,711,,,-37.8513,145.0965
Burwood,2/4 Farleigh Av,h,,3,SN,Woodards,7/05/2016,11.7,,,,,,,,
Burwood,7 Wattlebird Ct,h,2000000,4,S,Fletchers,7/05/2016,11.7,4,3,2,928,229,1996,-37.842,145.102
Burwood,1/9 Bronte Av,u,601000,2,S,Biggin,7/11/2016,11.7,,,,,,,,
Burwood,1/14 Corrigan St,h,790000,3,S,Fletchers,7/11/2016,11.7,3,1,2,318,103,1960,-37.8544,145.1114
Burwood,24 Patterson Av,h,,3,SN,RW,7/11/2016,11.7,,,,,,,,
Burwood,30 Waratah Av,t,930000,3,VB,Lindellas,7/11/2016,11.7,,,,,,,,
Burwood,36 Cumming St,h,,3,PI,Ross,8/10/2016,11.7,30,12,0,946,,1950,-37.853,145.1129
Burwood,25 Greenwood St,h,1682000,4,S,Jellis,8/10/2016,11.7,4,2,1,921,174,1950,-37.8494,145.1291
Burwood,14/1 Conservatory Dr,u,625000,3,PI,Jellis,10/09/2016,11.7,3,2,1,0,115,2002,-37.8561,145.0962
Burwood,2/22 Scott Gr,t,780000,3,VB,Jellis,10/09/2016,11.7,3,2,2,160,,,-37.8525,145.0973
Burwood,2 Bennett St,h,1342000,3,S,McGrath,10/12/2016,11.7,3,1,2,690,,,-37.8509,145.117
Burwood,29 Clanbrae Av,h,1381000,4,S,Buxton,10/12/2016,11.7,,,,,,,,
Burwood,1/9 Farleigh Av,u,,3,SN,Barry,10/12/2016,11.7,,,,,,,,
Burwood,12 Havelock St,h,1782800,4,SP,Buxton,10/12/2016,11.7,4,2,2,804,,,-37.8516,145.1179
Burwood,3/14 Havelock St,t,956000,3,S,Buxton,11/02/2017,11.7,,,,,,,,
Burwood,3 Peacock St,h,1468000,3,S,Buxton,11/02/2017,11.7,3,1,2,706,,,-37.8509,145.1161
Burwood,28 Farleigh Av,t,,3,S,Buxton,11/03/2017,11.7,,,,,,,,
Burwood,1/10 McComas Gr,u,650000,2,PI,Buxton,11/03/2017,11.7,2,1,1,194,120,1975,-37.8509,145.1119
Burwood,8 McCubbin St,h,,4,S,Buxton,11/03/2017,11.7,4,2,2,0,,,-37.854,145.1306
Burwood,19 Wallace Rd,h,,3,SN,Woodards,11/03/2017,11.7,3,3,2,645,,,-37.8471,145.0985
Burwood,1/34 Cumming St,h,1060000,5,S,Ray,12/06/2016,11.7,4,3,2,326,210,2013,-37.8528,145.1129
Burwood,14 Wridgway Av,h,1765000,4,S,Ray,12/06/2016,11.7,,,,,,,,
Burwood,33 Brockhoff Dr,h,1255000,4,S,Buxton,12/11/2016,11.7,4,2,2,438,210,2005,-37.8599,145.1101
Burwood,9 Ian Gr,h,,4,S,Jellis,12/11/2016,11.7,4,2,3,608,,,-37.8555,145.1203
Burwood,229 Highbury Rd,h,900000,4,S,Jellis,13/08/2016,11.7,3,1,4,586,,1955,-37.856,145.1196
Burwood,2a Iris St,h,633000,2,S,Noel,14/05/2016,11.7,2,1,1,276,92,1965,-37.8454,145.0971
Burwood,5 Keogh St,h,1070500,3,SP,Buxton,14/05/2016,11.7,3,1,2,776,,,-37.856,145.1104
Burwood,22 Andrews St,h,1175000,3,S,Noel,15/10/2016,11.7,3,1,2,661,,,-37.8495,145.1282
